sector_id,sector_name_vi,Priority_default,Priority_growth,Priority_inclusive,Rank_default,Rank_growth,Rank_inclusive
8,Thông tin-Truyền thông-CNTT,0.729837,0.696819,0.62625,1,2,2
2,Công nghiệp chế biến chế tạo,0.652233,0.709895,0.667724,2,1,1
6,Tài chính-Ngân hàng-Bảo hiểm,0.532825,0.528374,0.398546,3,3,9
10,Y tế-Chăm sóc sức khỏe,0.439192,0.378266,0.482973,4,5,4
7,Logistics-Vận tải-Kho bãi,0.438612,0.427543,0.449297,5,4,7
9,Giáo dục-Đào tạo,0.399694,0.328118,0.476008,6,7,5
5,Bán buôn-bán lẻ,0.380095,0.33579,0.463348,7,6,6
1,Nông-Lâm-Thủy sản,0.315686,0.243275,0.563252,8,9,3
3,Xây dựng,0.304585,0.291648,0.416373,9,8,8
4,Khai khoáng,0.177567,0.227595,0.071957,10,10,10
