sector_name_vi,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4
Bán buôn-bán lẻ,0.368733,0.372899,0.376669,0.380095,0.383224,0.386092,0.38873,0.391166
Công nghiệp chế biến chế tạo,0.668699,0.662661,0.657199,0.652233,0.647698,0.643542,0.639718,0.636188
Giáo dục-Đào tạo,0.413056,0.408157,0.403724,0.399694,0.396015,0.392642,0.389539,0.386675
Khai khoáng,0.17316,0.174776,0.176238,0.177567,0.178781,0.179893,0.180917,0.181862
Logistics-Vận tải-Kho bãi,0.449467,0.445487,0.441885,0.438612,0.435623,0.432883,0.430362,0.428035
Nông-Lâm-Thủy sản,0.365532,0.347255,0.330719,0.315686,0.301961,0.289379,0.277804,0.267119
Thông tin-Truyền thông-CNTT,0.68718,0.702821,0.716972,0.729837,0.741583,0.752351,0.762257,0.771401
Tài chính-Ngân hàng-Bảo hiểm,0.493668,0.508026,0.521016,0.532825,0.543608,0.553492,0.562585,0.570979
Xây dựng,0.341863,0.328194,0.315827,0.304585,0.29432,0.284911,0.276254,0.268263
Y tế-Chăm sóc sức khỏe,0.443649,0.442015,0.440536,0.439192,0.437964,0.436839,0.435804,0.434848
