strategy,year,A,K,L,D,AI,H,Y_plan,shock_factor,Y_effective,C,I_K,I_D,I_AI,I_H,share_K,share_D,share_AI,share_H,invest_share,consumption_share,welfare_term
Mở rộng có sàn D-AI-H,2026,30.944377,27500.0,53.9,20.3,86.0,30.0,11796.054803,1.0,11796.054803,10300.739927,610.610766,294.90137,235.921096,353.881644,0.051764,0.025,0.02,0.03,0.126764,0.873236,9.239971
Mở rộng có sàn D-AI-H,2027,31.426223,26735.610766,54.2234,18.158901,73.807763,29.626484,11613.55234,1.0,11613.55234,10742.535914,0.0,290.338808,232.271047,348.40657,0.0,0.025,0.02,0.03,0.075,0.925,9.003507
Mở rộng có sàn D-AI-H,2028,31.905298,25398.830228,54.54874,16.270172,63.433412,29.256935,11346.491648,1.0,11346.491648,10495.504774,0.0,283.662291,226.929833,340.394749,0.0,0.025,0.02,0.03,0.075,0.925,8.711513
Mở rộng có sàn D-AI-H,2029,32.382671,24128.888716,54.876033,14.601414,54.59919,28.889649,11085.545372,1.0,11085.545372,10254.129469,0.0,277.138634,221.710907,332.566361,0.0,0.025,0.02,0.03,0.075,0.925,8.428933
Mở rộng có sàn D-AI-H,2030,32.859274,22922.444281,55.205289,13.126383,47.074444,28.524698,10831.254304,1.0,10831.254304,10018.910231,0.0,270.781358,216.625086,324.937629,0.0,0.025,0.02,0.03,0.075,0.925,8.155521
Mở rộng có sàn D-AI-H,2031,33.33593,21776.322067,55.536521,11.821998,40.663153,28.162164,10584.060295,1.0,10584.060295,9790.255773,0.0,264.601507,211.681206,317.521809,0.0,0.025,0.02,0.03,0.075,0.925,7.89103
Mở rộng có sàn D-AI-H,2032,33.813365,20687.505963,55.86974,10.66796,35.198723,27.802135,10344.322068,1.0,10344.322068,9568.497913,0.0,258.608052,206.886441,310.329662,0.0,0.025,0.02,0.03,0.075,0.925,7.635214
Mở rộng có sàn D-AI-H,2033,34.292221,19653.130665,56.204958,9.646413,30.539574,27.444703,10112.328136,1.0,10112.328136,9353.903526,0.0,252.808203,202.246563,303.369844,0.0,0.025,0.02,0.03,0.075,0.925,7.387831
Mở rộng có sàn D-AI-H,2034,34.773065,18670.474132,56.542188,8.741651,26.565378,27.089966,9888.307209,1.0,9888.307209,9146.684168,0.0,247.20768,197.766144,296.649216,0.0,0.025,0.02,0.03,0.075,0.925,7.148638
Mở rộng có sàn D-AI-H,2035,35.256399,17736.950425,56.881441,7.939861,23.173869,26.738022,9672.436389,1.0,9672.436389,8947.00366,0.0,241.81091,193.448728,290.173092,0.0,0.025,0.02,0.03,0.075,0.925,6.917399
